run_id,phase_idx,timestamp,l0_files,stall_micros_total,stall_micros_delta,compaction_pending_bytes,is_write_stopped,actual_delayed_write_rate,num_running_compactions,batch_payload_bytes,batch_latency_ms,bg_jobs,process_cpu_user_sec,process_cpu_sys_sec
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1030890,2.11607,2,0.005099,0.006119
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.78835,2,0.007226,0.007226
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.64076,2,0.008238,0.009267
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.82025,2,0.010288,0.010288
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,2.29898,2,0.013541,0.010288
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.74123,2,0.015396,0.01129
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.58434,2,0.016696,0.012522
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.71561,2,0.018664,0.013479
1775329976340,1,1.77533e+09,0,0,0,0,0,0,0,1032000,2.25998,2,0.022397,0.014253
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1032000,1.78083,2,0.031006,0.017003
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.55685,2,0.033531,0.017059
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.60444,2,0.034948,0.017973
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.73012,2,0.037503,0.017973
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.54464,2,0.038904,0.018953
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.51565,2,0.041108,0.01905
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.5272,2,0.043321,0.019141
1775329976340,1,1.77533e+09,1,0,0,0,0,0,0,1033000,2.10326,2,0.047051,0.020022
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.6966,2,0.055558,0.021826
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.54396,2,0.05786,0.021826
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.54537,2,0.059269,0.02272
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.70678,2,0.061763,0.022737
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.52662,2,0.063097,0.023661
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.51376,2,0.065298,0.023744
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.54629,2,0.067608,0.023744
1775329976340,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.77278,2,0.070996,0.023744
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.56031,2,0.080739,0.024919
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.53486,2,0.083041,0.025012
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.52261,2,0.085332,0.025012
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.75704,2,0.087829,0.025012
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.5107,2,0.090109,0.02503
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.56143,2,0.091655,0.025902
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.51163,2,0.093891,0.02597
1775329976340,1,1.77533e+09,3,0,0,0,0,0,0,1033000,1.78252,2,0.095885,0.027678
1775329976340,1,1.77533e+09,4,0,0,0,0,0,0,1033000,1.54071,2,0.099141,0.035049
1775329976340,1,1.77533e+09,4,0,0,0,0,0,0,1033000,1.57174,2,0.100391,0.03614
1775329976340,1,1.77533e+09,4,0,0,0,0,0,0,1033000,1.51575,2,0.102616,0.036217
1775329976340,1,1.77533e+09,4,0,0,0,0,0,0,1033000,1.77113,2,0.104277,0.037098
