run_id,phase_idx,timestamp,l0_files,stall_micros_total,stall_micros_delta,compaction_pending_bytes,is_write_stopped,actual_delayed_write_rate,num_running_compactions,batch_payload_bytes,batch_latency_ms,bg_jobs,process_cpu_user_sec,process_cpu_sys_sec
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1030890,2.0821,2,0.004537,0.006805
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.81283,2,0.007431,0.007431
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.6273,2,0.01057,0.007431
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.95832,2,0.011653,0.009534
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,2.26302,2,0.014876,0.009563
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.66021,2,0.01634,0.010893
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.54695,2,0.018082,0.0117
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,1.65549,2,0.020912,0.0117
1775330266959,1,1.77533e+09,0,0,0,0,0,0,0,1032000,2.32869,2,0.023884,0.0135
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1032000,1.65129,2,0.029222,0.018785
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.54565,2,0.031684,0.018797
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.5525,2,0.03411,0.018797
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.74268,2,0.035909,0.019493
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.49595,2,0.038197,0.019493
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.50624,2,0.03965,0.020333
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,1.47727,2,0.041863,0.020421
1775330266959,1,1.77533e+09,1,0,0,0,0,0,0,1033000,2.03508,2,0.045242,0.021113
1775330266959,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.71698,2,0.052769,0.023895
1775330266959,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.51455,2,0.054979,0.023991
1775330266959,1,1.77533e+09,2,0,0,0,0,0,0,1033000,1.50377,2,0.057181,0.024076
