run_id,timestamp,l0_files,stall_micros_total,stall_micros_delta,compaction_pending_bytes,is_write_stopped,actual_delayed_write_rate,num_running_compactions,write_throughput_mb_s,batch_latency_ms,bg_jobs
1775040096824,1.77504e+09,7,0,0,484796126,0,0,1,540.747,7.27828,2
1775040096824,1.77504e+09,7,0,0,484796126,0,0,1,531.589,7.40566,2
1775040096824,1.77504e+09,7,0,0,484796126,0,0,1,349.012,11.2852,2
1775040096824,1.77504e+09,7,0,0,484796126,0,0,1,559.112,7.04793,2
1775040096824,1.77504e+09,7,0,0,217935660,0,0,1,65.0054,60.6193,2
1775040096824,1.77504e+09,9,0,0,1154271453,0,0,1,582.064,6.77002,2
1775040096824,1.77504e+09,9,0,0,1154271453,0,0,1,566.409,6.95713,2
1775040096824,1.77504e+09,9,0,0,1154271453,0,0,1,592.229,6.65382,2
1775040096824,1.77504e+09,9,0,0,1154271453,0,0,1,561.316,7.02026,2
1775040096824,1.77504e+09,10,0,0,866012918,0,0,1,562.366,7.00714,2
1775040096824,1.77504e+09,11,0,0,908911712,0,0,1,576.05,6.84069,2
1775040096824,1.77504e+09,12,309515,309515,951096207,0,13421772,1,12.449,316.538,2
1775040096824,1.77504e+09,13,584707,275192,992595286,0,8589933,1,13.9675,282.124,2
1775040096824,1.77504e+09,13,1074472,489765,992595286,0,6871946,1,7.92502,497.233,2
1775040096824,1.77504e+09,14,1715454,640982,1033436293,0,3298533,1,6.08062,648.056,2
1775040096824,1.77504e+09,4,3104064,1388610,127052429,0,0,1,2.81958,1397.58,2
1775040096824,1.77504e+09,4,3104064,0,127052429,0,0,1,418.019,9.42681,2
1775040096824,1.77504e+09,5,3104064,0,127052429,0,0,1,593.924,6.63483,2
1775040096824,1.77504e+09,5,3104064,0,127052429,0,0,1,580.551,6.78765,2
1775040096824,1.77504e+09,5,3104064,0,127052429,0,0,1,547.365,7.19918,2
1775040096824,1.77504e+09,6,3104064,0,0,0,0,0,559.702,7.0405,2
1775040096824,1.77504e+09,7,3104064,0,0,0,0,0,609.06,6.46994,2
1775040096824,1.77504e+09,7,3104064,0,0,0,0,0,462.899,8.51284,2
1775040096824,1.77504e+09,8,3104064,0,688440479,0,0,1,596.749,6.60342,2
1775040096824,1.77504e+09,8,3104064,0,688440479,0,0,1,444.501,8.86518,2
1775040096824,1.77504e+09,8,3104064,0,688440479,0,0,1,552.158,7.1436,2
1775040096824,1.77504e+09,9,3104064,0,734486550,0,0,1,448.073,8.80302,2
1775040096824,1.77504e+09,10,3104064,0,779697198,0,0,1,592.084,6.66189,2
1775040096824,1.77504e+09,10,3104064,0,779697198,0,0,1,461.92,8.53913,2
1775040096824,1.77504e+09,10,3104064,0,779697198,0,0,1,587.375,6.7153,2
1775040096824,1.77504e+09,10,3104064,0,779697198,0,0,1,560.247,7.04047,2
1775040096824,1.77504e+09,3,3198358,94294,108526059,0,0,1,16.5938,237.704,2
1775040096824,1.77504e+09,4,3198358,0,108526059,0,0,1,587.292,6.71625,2
1775040096824,1.77504e+09,4,3198358,0,108526059,0,0,1,461.078,8.55473,2
1775040096824,1.77504e+09,4,3198358,0,108526059,0,0,1,574.65,6.864,2
1775040096824,1.77504e+09,4,3198358,0,108526059,0,0,1,560.246,7.04047,2
1775040096824,1.77504e+09,5,3198358,0,0,0,0,0,510.97,7.71944,2
1775040096824,1.77504e+09,6,3198358,0,0,0,0,0,576.474,6.84228,2
1775040096824,1.77504e+09,7,3198358,0,0,0,0,0,573.546,6.87721,2
1775040096824,1.77504e+09,7,3198358,0,0,0,0,0,534.999,7.37272,2
1775040096824,1.77504e+09,8,3198358,0,689333100,0,0,1,586.488,6.72545,2
1775040096824,1.77504e+09,8,3198358,0,689333100,0,0,1,570.586,6.91289,2
1775040096824,1.77504e+09,8,3198358,0,689333100,0,0,1,522.219,7.55315,2
1775040096824,1.77504e+09,9,3198358,0,735384336,0,0,1,157.333,25.0704,2
1775040096824,1.77504e+09,10,3198358,0,780589384,0,0,1,464.242,8.49643,2
1775040096824,1.77504e+09,10,3198358,0,780589384,0,0,1,583.995,6.75417,2
1775040096824,1.77504e+09,10,3198358,0,780589384,0,0,1,583.989,6.75424,2
1775040096824,1.77504e+09,10,3198358,0,780589384,0,0,1,554.456,7.11399,2
1775040096824,1.77504e+09,11,3198358,0,824984408,0,0,1,456.03,8.64942,2
1775040096824,1.77504e+09,13,4536590,1338232,911478974,0,16777216,1,2.93248,1345.07,6
1775040096824,1.77504e+09,13,4730690,194100,911478974,0,13421772,1,10.2898,383.332,6
1775040096824,1.77504e+09,14,4822972,92282,953641221,0,6442450,1,39.0171,101.094,6
1775040096824,1.77504e+09,6,5350489,527517,67650658,0,0,1,7.35187,536.516,6
1775040096824,1.77504e+09,6,5350489,0,67650658,0,0,1,544.213,7.24789,6
1775040096824,1.77504e+09,6,5350489,0,67650658,0,0,1,563.403,7.00103,6
1775040096824,1.77504e+09,7,5350489,0,67650658,0,0,1,502.734,7.84588,6
1775040096824,1.77504e+09,8,5350489,0,974477082,0,0,1,55.9092,70.55,6
1775040096824,1.77504e+09,8,5350489,0,616300965,0,0,1,574.072,6.87091,6
1775040096824,1.77504e+09,8,5350489,0,616300965,0,0,1,548.628,7.18956,6
1775040096824,1.77504e+09,8,5350489,0,616300965,0,0,1,537.393,7.33988,6
1775040096824,1.77504e+09,9,5350489,0,663738285,0,0,1,595.19,6.62713,6
1775040096824,1.77504e+09,10,5350489,0,710269085,0,0,1,542.902,7.26539,6
1775040096824,1.77504e+09,10,5350489,0,710269085,0,0,1,576.664,6.84003,6
1775040096824,1.77504e+09,11,5350489,0,755932980,0,0,2,580.19,6.79846,6
1775040096824,1.77504e+09,11,5350489,0,755932980,0,0,2,588.696,6.70022,6
1775040096824,1.77504e+09,11,5350489,0,755932980,0,0,2,564.396,6.9887,6
1775040096824,1.77504e+09,3,5904164,553675,0,0,0,1,6.96363,566.428,6
1775040096824,1.77504e+09,3,5904164,0,0,0,0,0,580.486,6.79499,6
1775040096824,1.77504e+09,3,5904164,0,0,0,0,0,560.835,7.03308,6
1775040096824,1.77504e+09,4,5904164,0,0,0,0,0,595.438,6.62436,6
1775040096824,1.77504e+09,4,5904164,0,0,0,0,0,585.588,6.73579,6
1775040096824,1.77504e+09,5,5904164,0,0,0,0,0,587.17,6.71765,6
1775040096824,1.77504e+09,5,5904164,0,0,0,0,0,580.698,6.79251,6
1775040096824,1.77504e+09,6,5904164,0,0,0,0,0,602.1,6.55107,6
1775040096824,1.77504e+09,6,5904164,0,0,0,0,0,584.894,6.74378,6
1775040096824,1.77504e+09,7,5904164,0,0,0,0,0,590.639,6.67819,6
1775040096824,1.77504e+09,7,5904164,0,0,0,0,0,580.479,6.79508,6
1775040096824,1.77504e+09,8,5904164,0,1045280678,0,0,1,601.882,6.55343,6
1775040096824,1.77504e+09,8,5904164,0,1045280678,0,0,1,566.949,6.95724,6
1775040096824,1.77504e+09,8,5904164,0,1045280678,0,0,1,537.221,7.34223,6
1775040096824,1.77504e+09,8,5904164,0,1045280678,0,0,1,108.614,36.3157,6
1775040096824,1.77504e+09,9,5904164,0,1085328005,0,0,1,33.9958,116.026,6
1775040096824,1.77504e+09,10,5904164,0,1124774149,0,0,1,589.523,6.69083,6
1775040096824,1.77504e+09,11,5904164,0,1163642098,0,0,1,580.03,6.80033,6
1775040096824,1.77504e+09,11,5904164,0,1163642098,0,0,1,533.424,7.39449,6
1775040096824,1.77504e+09,11,5904164,0,1163642098,0,0,1,459.657,8.58118,6
1775040096824,1.77504e+09,11,5904164,0,1163642098,0,0,1,38.9617,101.238,6
1775040096824,1.77504e+09,5,6221783,317619,389414379,0,0,1,12.1623,324.314,6
1775040096824,1.77504e+09,5,6221783,0,389414379,0,0,1,593.811,6.64251,6
1775040096824,1.77504e+09,5,6221783,0,389414379,0,0,1,580.216,6.79815,6
1775040096824,1.77504e+09,6,6221783,0,389414379,0,0,1,584.238,6.75136,6
1775040096824,1.77504e+09,7,6221783,0,191219482,0,0,1,578.227,6.82154,6
1775040096824,1.77504e+09,7,6221783,0,191219482,0,0,1,586.205,6.7287,6
1775040096824,1.77504e+09,7,6221783,0,191219482,0,0,1,534.438,7.38046,6
1775040096824,1.77504e+09,8,6221783,0,1105927269,0,0,2,38.9795,101.191,6
1775040096824,1.77504e+09,9,6221783,0,811979305,0,0,1,33.6383,117.259,6
1775040096824,1.77504e+09,9,6221783,0,811979305,0,0,1,583.025,6.7654,6
1775040096824,1.77504e+09,9,6221783,0,811979305,0,0,1,514.7,7.66349,6
1775040096824,1.77504e+09,10,6221783,0,855823716,0,0,1,579.652,6.80477,6
1775040096824,1.77504e+09,10,6221783,0,855823716,0,0,1,599.523,6.57922,6
1775040096824,1.77504e+09,10,6221783,0,855823716,0,0,1,565.471,6.97542,6
1775040096824,1.77504e+09,11,6221783,0,898915145,0,0,1,129.385,30.4858,6
1775040096824,1.77504e+09,4,6221783,0,189512232,0,0,1,571.062,6.90712,6
1775040096824,1.77504e+09,4,6221783,0,189512232,0,0,1,58.9368,66.9258,6
1775040096824,1.77504e+09,5,6221783,0,189512232,0,0,1,577.17,6.83403,6
1775040096824,1.77504e+09,5,6221783,0,189512232,0,0,1,588.54,6.702,6
1775040096824,1.77504e+09,6,6221783,0,0,0,0,0,537.954,7.33221,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,584.681,6.74623,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,580.205,6.79828,6
1775040096824,1.77504e+09,8,6221783,0,765249359,0,0,1,581.756,6.78016,6
1775040096824,1.77504e+09,8,6221783,0,765249359,0,0,1,555.406,7.10182,6
1775040096824,1.77504e+09,8,6221783,0,809913684,0,0,1,574.639,6.86412,6
1775040096824,1.77504e+09,8,6221783,0,809913684,0,0,1,551.165,7.15647,6
1775040096824,1.77504e+09,8,6221783,0,809913684,0,0,1,530.662,7.43298,6
1775040096824,1.77504e+09,9,6221783,0,853794037,0,0,1,46.6153,84.6159,6
1775040096824,1.77504e+09,9,6221783,0,896916715,0,0,1,33.3516,118.267,6
1775040096824,1.77504e+09,9,6221783,0,896916715,0,0,1,604.077,6.52963,6
1775040096824,1.77504e+09,9,6221783,0,896916715,0,0,1,164.374,23.9964,6
1775040096824,1.77504e+09,10,6221783,0,939319233,0,0,1,573.359,6.87946,6
1775040096824,1.77504e+09,10,6221783,0,939319233,0,0,1,574.999,6.85983,6
1775040096824,1.77504e+09,11,6221783,0,981027720,0,0,1,575.553,6.85323,6
1775040096824,1.77504e+09,11,6221783,0,981027720,0,0,1,39.8127,99.0739,6
1775040096824,1.77504e+09,4,6221783,0,259574280,0,0,1,581.465,6.78355,6
1775040096824,1.77504e+09,4,6221783,0,259574280,0,0,1,62.3186,63.2941,6
1775040096824,1.77504e+09,5,6221783,0,259574280,0,0,1,564.222,6.99086,6
1775040096824,1.77504e+09,5,6221783,0,259574280,0,0,1,587.832,6.71007,6
1775040096824,1.77504e+09,6,6221783,0,0,0,0,0,201.983,19.5284,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,585.45,6.73738,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,452.323,8.72031,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,527.722,7.47439,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,537.233,7.34205,6
1775040096824,1.77504e+09,7,6221783,0,32190845,0,0,1,472.52,8.34758,6
1775040096824,1.77504e+09,7,6221783,0,32190845,0,0,1,586.186,6.72891,6
1775040096824,1.77504e+09,7,6221783,0,32190845,0,0,1,517.803,7.61757,6
1775040096824,1.77504e+09,8,6221783,0,937348690,0,0,1,37.2106,106.002,6
1775040096824,1.77504e+09,8,6221783,0,573438059,0,0,1,35.3429,111.604,6
1775040096824,1.77504e+09,8,6221783,0,621710848,0,0,1,582.34,6.77335,6
1775040096824,1.77504e+09,8,6221783,0,621710848,0,0,1,573.76,6.87465,6
1775040096824,1.77504e+09,9,6221783,0,669043613,0,0,1,195.238,20.203,6
1775040096824,1.77504e+09,8,6221783,0,669040102,0,0,1,31.0387,127.08,6
1775040096824,1.77504e+09,9,6221783,0,715471017,0,0,1,598.072,6.59518,6
1775040096824,1.77504e+09,9,6221783,0,761035978,0,0,1,460.411,8.56711,6
1775040096824,1.77504e+09,9,6221783,0,761035978,0,0,1,587.345,6.71564,6
1775040096824,1.77504e+09,9,6221783,0,761035978,0,0,1,416.126,9.47884,6
1775040096824,1.77504e+09,10,6221783,0,805778892,0,0,2,120.822,32.6464,6
1775040096824,1.77504e+09,9,6221783,0,805775592,0,0,1,32.7635,120.39,6
1775040096824,1.77504e+09,10,6221783,0,849728056,0,0,1,594.177,6.63842,6
1775040096824,1.77504e+09,10,6221783,0,849728056,0,0,1,64.2187,61.4213,6
1775040096824,1.77504e+09,3,6221783,0,0,0,0,0,582.152,6.77555,6
1775040096824,1.77504e+09,4,6221783,0,0,0,0,0,598.756,6.58765,6
1775040096824,1.77504e+09,4,6221783,0,0,0,0,0,561.028,7.03067,6
1775040096824,1.77504e+09,5,6221783,0,0,0,0,0,578.19,6.82198,6
1775040096824,1.77504e+09,5,6221783,0,0,0,0,0,569.055,6.93149,6
1775040096824,1.77504e+09,6,6221783,0,0,0,0,0,586.234,6.72837,6
1775040096824,1.77504e+09,6,6221783,0,0,0,0,0,573.221,6.88111,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,587.573,6.71303,6
1775040096824,1.77504e+09,7,6221783,0,0,0,0,0,573.317,6.87996,6
1775040096824,1.77504e+09,8,6221783,0,1098545786,0,0,1,596.389,6.6138,6
1775040096824,1.77504e+09,8,6221783,0,1098545786,0,0,1,597.634,6.60003,6
1775040096824,1.77504e+09,8,6221783,0,1098545786,0,0,1,546.928,7.21191,6
1775040096824,1.77504e+09,9,6221783,0,1137796647,0,0,1,560.183,7.04127,6
1775040096824,1.77504e+09,9,6221783,0,1137796647,0,0,1,597.112,6.60579,6
1775040096824,1.77504e+09,10,6221783,0,1176476722,0,0,1,593.353,6.64764,6
1775040096824,1.77504e+09,10,6221783,0,1176476722,0,0,1,583.16,6.76383,6
1775040096824,1.77504e+09,11,6221783,0,1214607473,0,0,1,457.592,8.61989,6
1775040096824,1.77504e+09,12,6832072,610289,1252209297,0,6812275,1,6.37182,619.038,6
1775040096824,1.77504e+09,5,7161305,329233,454816203,0,0,1,11.7032,337.036,6
1775040096824,1.77504e+09,5,7161305,0,454816203,0,0,1,462.407,8.53013,6
1775040096824,1.77504e+09,5,7161305,0,454816203,0,0,1,586.526,6.72502,6
1775040096824,1.77504e+09,5,7161305,0,454816203,0,0,1,416.719,9.46536,6
1775040096824,1.77504e+09,6,7161305,0,454816203,0,0,1,282.096,13.9825,6
1775040096824,1.77504e+09,6,7161305,0,182649002,0,0,1,84.2932,46.7937,6
1775040096824,1.77504e+09,7,7161305,0,182649002,0,0,1,554.136,7.1181,6
1775040096824,1.77504e+09,7,7161305,0,182649002,0,0,1,574.801,6.86219,6
1775040096824,1.77504e+09,7,7161305,0,182649002,0,0,1,289.451,13.6271,6
1775040096824,1.77504e+09,8,7161305,0,756812161,0,0,1,73.6291,53.5712,6
1775040096824,1.77504e+09,9,7161305,0,801630716,0,0,1,594.545,6.63431,6
1775040096824,1.77504e+09,9,7161305,0,801630716,0,0,1,593.097,6.65051,6
1775040096824,1.77504e+09,10,7161305,0,845655577,0,0,1,49.4077,79.8336,6
1775040096824,1.77504e+09,10,7161305,0,845655577,0,0,1,32.9315,119.776,6
1775040096824,1.77504e+09,11,7161305,0,888919974,0,0,1,506.568,7.78651,6
1775040096824,1.77504e+09,11,7161305,0,888919974,0,0,1,595.411,6.62466,6
1775040096824,1.77504e+09,11,7161305,0,888919974,0,0,1,29.1051,135.523,6
1775040096824,1.77504e+09,5,7167869,6564,180929515,0,0,1,154.093,25.5976,6
1775040096824,1.77504e+09,5,7167869,0,180929515,0,0,1,583.872,6.75558,6
1775040096824,1.77504e+09,5,7167869,0,180929515,0,0,1,562.569,7.0114,6
1775040096824,1.77504e+09,6,7167869,0,180929515,0,0,1,580.201,6.79833,6
1775040096824,1.77504e+09,7,7167869,0,180929515,0,0,1,153.479,25.7,6
