run_id,phase_idx,timestamp,l0_files,stall_micros_total,stall_micros_delta,compaction_pending_bytes,is_write_stopped,actual_delayed_write_rate,num_running_compactions,batch_payload_bytes,batch_latency_ms,bg_jobs,process_cpu_user_sec,process_cpu_sys_sec
1775331719136,1,1.77533e+09,11,3147961,0,282964634,0,0,1,10340000,20.3714,1,2.12289,0.932294
1775331719136,1,1.77533e+09,12,3767685,619724,314404995,0,13421772,1,10340000,643.75,1,2.22932,0.994743
1775331719136,1,1.77533e+09,13,4699893,932208,335365466,0,8589933,1,10340000,951.228,1,2.40869,1.09882
1775331719136,1,1.77533e+09,5,4699893,0,0,0,0,0,10340000,17.309,1,2.44774,1.12193
1775331719136,1,1.77533e+09,5,4699893,0,0,0,0,0,10340000,17.2067,1,2.47864,1.12979
1775331719136,1,1.77533e+09,5,4699893,0,0,0,0,0,10340000,17.1027,1,2.50111,1.13493
1775331719136,1,1.77533e+09,6,4743548,43655,0,0,0,0,10340000,60.8975,1,2.53399,1.14886
1775331719136,1,1.77533e+09,6,4743548,0,0,0,0,0,10340000,16.8845,1,2.56744,1.16001
1775331719136,1,1.77533e+09,7,4885098,141550,0,0,0,0,10340000,158.578,1,2.60262,1.17204
1775331719136,1,1.77533e+09,7,4885098,0,0,0,0,0,10340000,16.9283,1,2.63409,1.17612
1775331719136,1,1.77533e+09,7,4885098,0,0,0,0,0,10340000,17.0231,1,2.65838,1.17914
1775331719136,1,1.77533e+09,8,4934069,48971,199123441,0,0,1,10340000,66.6751,1,2.70756,1.19514
1775331719136,1,1.77533e+09,8,4934069,0,199123441,0,0,1,10340000,17.1737,1,2.76609,1.21992
1775331719136,1,1.77533e+09,8,5248336,314267,209603330,0,0,1,10340000,332.933,1,2.83102,1.24314
1775331719136,1,1.77533e+09,8,5248336,0,209603330,0,0,1,10340000,18.0948,1,2.88329,1.26119
1775331719136,1,1.77533e+09,8,5248336,0,209603330,0,0,1,10340000,17.3681,1,2.92197,1.27804
1775331719136,1,1.77533e+09,9,5441015,192679,230563802,0,0,1,10340000,209.982,1,2.99048,1.30985
1775331719136,1,1.77533e+09,9,5441015,0,230563802,0,0,1,10340000,16.9236,1,3.0268,1.32195
1775331719136,1,1.77533e+09,9,5806693,365678,230563802,0,0,1,10340000,383.914,1,3.0785,1.34729
1775331719136,1,1.77533e+09,9,5806693,0,230563802,0,0,1,10340000,16.9882,1,3.13115,1.35943
1775331719136,1,1.77533e+09,9,5806693,0,230563802,0,0,1,10340000,17.2008,1,3.16997,1.37635
1775331719136,1,1.77533e+09,10,5850240,43547,251524274,0,0,1,10340000,60.8624,1,3.24565,1.41282
1775331719136,1,1.77533e+09,10,5850240,0,251524274,0,0,1,10340000,20.3373,1,3.28217,1.43209
1775331719136,1,1.77533e+09,11,6406087,555847,282964634,0,0,1,10340000,573.193,1,3.33885,1.45511
1775331719136,1,1.77533e+09,11,6406087,0,282964634,0,0,1,10340000,18.6079,1,3.38124,1.48037
1775331719136,1,1.77533e+09,11,6406087,0,282964634,0,0,1,10340000,19.9881,1,3.42384,1.4992
1775331719136,1,1.77533e+09,13,7025260,619173,335365467,0,10737417,1,10340000,668.299,1,3.53064,1.56095
1775331719136,1,1.77533e+09,13,8173755,1148495,335365467,0,8589933,1,10340000,1167.96,1,3.77658,1.75077
1775331719136,1,1.77533e+09,5,8178126,4371,0,0,0,0,10340000,23.5977,1,3.81326,1.7666
1775331719136,1,1.77533e+09,5,8178126,0,0,0,0,0,10340000,19.0517,1,3.84025,1.77703
1775331719136,1,1.77533e+09,5,8178126,0,0,0,0,0,10340000,19.4115,1,3.86508,1.78185
1775331719136,1,1.77533e+09,6,8215181,37055,0,0,0,0,10340000,57.2264,1,3.89492,1.80593
1775331719136,1,1.77533e+09,6,8215181,0,0,0,0,0,10340000,19.553,1,3.94672,1.81766
1775331719136,1,1.77533e+09,7,8344032,128851,0,0,0,0,10340000,146.298,1,4.00028,1.8363
1775331719136,1,1.77533e+09,7,8344032,0,0,0,0,0,10340000,16.825,1,4.02483,1.84653
1775331719136,1,1.77533e+09,7,8344032,0,0,0,0,0,10340000,16.7791,1,4.04837,1.85022
1775331719136,1,1.77533e+09,7,8392950,48918,0,0,0,0,10340000,67.0658,1,4.08539,1.86013
1775331719136,1,1.77533e+09,7,8392950,0,0,0,0,0,10340000,17.2543,1,4.11876,1.87631
1775331719136,1,1.77533e+09,7,8531291,138341,0,0,0,0,10340000,158.07,1,4.15606,1.8893
