baseline,mean_latency_ms_delta_pct,p95_latency_ms_delta_pct,p99_latency_ms_delta_pct,max_latency_ms_delta_pct,mean_throughput_mb_s_delta_pct,total_stall_s_delta_pct
fixed2,-24.324275430011518,-61.90362058756722,-22.27087974433287,-7.279241027001926,-9.569969129922745,-59.60039809178834
fixed4,-16.88830552436677,-56.000452341441076,-15.439237234256058,-10.940188369040188,-10.08240657212326,-38.2140541975681
fixed6,-3.814611536313741,-51.0007480804492,-20.90653527148675,12.96953432541445,-15.15923111077299,-41.36140874469375
