config,mean_latency_ms,p95_latency_ms,p99_latency_ms,max_latency_ms,overall_throughput_mb_s,total_stall_s,rows
fixed2,13.85933048,9.03107149999996,278.1400699999995,721.907,284.72460494949325,2.72012,500
fixed4,13.998500680000001,37.83834499999984,195.38645999999906,651.909,281.89393178516247,2.399796,500
fixed6,10.37239652,23.96866999999953,87.12965099999998,392.653,380.4417222359014,0.315169,500
controller,11.76141614,41.63650499999995,119.63560999999994,197.372,335.5116721329164,0.347384,500
